Orthogroup	Duplications (all)	Duplications (50% support)
OG0001005	1	1
OG0001006	1	1
OG0001007	1	1
OG0001008	0	0
OG0001009	0	0
OG0001010	0	0
OG0001011	0	0
OG0001012	0	0
OG0001013	1	1
OG0001014	1	1
OG0001015	1	1
OG0001016	0	0
OG0001017	2	2
OG0001018	0	0
OG0001019	0	0
OG0001020	2	2
OG0001021	0	0
OG0001022	0	0
OG0001023	2	2
OG0001024	2	2
OG0001025	0	0
OG0001026	0	0
OG0001027	0	0
OG0001028	0	0
OG0001029	1	1
OG0001030	0	0
OG0001031	2	2
OG0001032	1	1
OG0001033	2	2
OG0001034	0	0
OG0001035	0	0
OG0001036	0	0
OG0001037	2	2
OG0001038	0	0
OG0001039	1	1
OG0001040	1	1
OG0001041	0	0
OG0001042	1	1
OG0001043	4	4
OG0001044	1	1
OG0001045	1	1
OG0001046	0	0
OG0001047	0	0
OG0001048	0	0
OG0001049	0	0
OG0001050	0	0
OG0001051	0	0
OG0001052	0	0
OG0001053	0	0
OG0001054	2	2
OG0001055	3	3
OG0001056	1	1
OG0001057	2	2
OG0001058	2	2
OG0001059	1	0
OG0001060	2	2
OG0001061	1	1
OG0001062	1	1
OG0001063	2	2
OG0001064	0	0
OG0001065	1	1
OG0001066	2	2
OG0001067	1	1
OG0001068	0	0
OG0001069	2	2
OG0001070	0	0
OG0001071	0	0
OG0001072	0	0
OG0001073	0	0
OG0001074	1	1
OG0001075	1	1
OG0001076	0	0
OG0001077	0	0
OG0001078	0	0
OG0001079	1	0
OG0001080	1	1
OG0001081	0	0
OG0001082	1	1
OG0001083	0	0
OG0001084	0	0
OG0001085	2	2
OG0001086	0	0
OG0001087	0	0
OG0001088	0	0
OG0001089	1	1
OG0001090	0	0
OG0001091	0	0
OG0001092	0	0
OG0001093	0	0
OG0001094	2	2
OG0001095	0	0
OG0001096	2	2
OG0001097	1	1
OG0001098	1	1
OG0001099	0	0
OG0001100	0	0
OG0001101	1	1
OG0001102	0	0
OG0001103	0	0
OG0001104	0	0
OG0001105	0	0
OG0001106	1	1
OG0001107	0	0
OG0001108	0	0
OG0001109	2	2
OG0001110	0	0
OG0001111	2	2
OG0001112	0	0
OG0001113	1	1
OG0001114	1	1
OG0001115	1	1
OG0001116	1	1
OG0001117	1	1
OG0001118	2	2
OG0001119	1	1
OG0001120	0	0
OG0001121	2	2
OG0001122	2	2
OG0001123	1	1
OG0001124	0	0
OG0001125	0	0
OG0001126	0	0
OG0001127	0	0
OG0001128	0	0
OG0001129	0	0
OG0001130	0	0
OG0001131	2	2
OG0001132	0	0
OG0001133	0	0
OG0001134	0	0
OG0001135	1	1
OG0001136	0	0
OG0001137	2	2
OG0001138	0	0
OG0001139	0	0
OG0001140	0	0
OG0001141	1	1
