,gene_id,database,kegg_id
925,XNR_RS04460,KEGG_ko,-
929,XNR_RS04480,KEGG_ko,-
930,XNR_RS04485,KEGG_ko,-
931,XNR_RS04490,KEGG_ko,-
932,XNR_RS04495,KEGG_ko,-
933,XNR_RS04500,KEGG_ko,-
934,XNR_RS04505,KEGG_ko,-
936,XNR_RS04515,KEGG_ko,-
937,XNR_RS04520,KEGG_ko,-
938,XNR_RS04525,KEGG_ko,-
940,XNR_RS04535,KEGG_ko,-
942,XNR_RS04545,KEGG_ko,-
943,XNR_RS04550,KEGG_ko,-
944,XNR_RS04555,KEGG_ko,-
945,XNR_RS04560,KEGG_ko,-
946,XNR_RS04565,KEGG_ko,-
960,XNR_RS04635,KEGG_ko,-
961,XNR_RS04645,KEGG_ko,-
962,XNR_RS04650,KEGG_ko,-
963,XNR_RS04655,KEGG_ko,-
964,XNR_RS04660,KEGG_ko,-
965,XNR_RS04665,KEGG_ko,-
967,XNR_RS04675,KEGG_ko,-
968,XNR_RS04680,KEGG_ko,-
969,XNR_RS04685,KEGG_ko,-
970,XNR_RS04690,KEGG_ko,-
971,XNR_RS04695,KEGG_ko,-
972,XNR_RS04700,KEGG_ko,-
974,XNR_RS04710,KEGG_ko,-
975,XNR_RS04715,KEGG_ko,-
976,XNR_RS04720,KEGG_ko,-
977,XNR_RS04725,KEGG_ko,-
978,XNR_RS04730,KEGG_ko,-
981,XNR_RS04755,KEGG_ko,-
983,XNR_RS04765,KEGG_ko,-
998,XNR_RS04820,KEGG_ko,-
999,XNR_RS04825,KEGG_ko,-
1001,XNR_RS04835,KEGG_ko,-
1002,XNR_RS04840,KEGG_ko,-
1005,XNR_RS04855,KEGG_ko,-
1006,XNR_RS04860,KEGG_ko,-
1007,XNR_RS04865,KEGG_ko,-
1008,XNR_RS04870,KEGG_ko,-
1010,XNR_RS04880,KEGG_ko,-
1012,XNR_RS04890,KEGG_ko,-
1014,XNR_RS04900,KEGG_ko,-
1015,XNR_RS04905,KEGG_ko,-
1018,XNR_RS04920,KEGG_ko,-
1021,XNR_RS04935,KEGG_ko,-
1022,XNR_RS04940,KEGG_ko,-
1027,XNR_RS04960,KEGG_ko,-
1028,XNR_RS04965,KEGG_ko,-
1029,XNR_RS04970,KEGG_ko,-
1031,XNR_RS04980,KEGG_ko,-
1032,XNR_RS04985,KEGG_ko,-
1033,XNR_RS04990,KEGG_ko,-
1034,XNR_RS04995,KEGG_ko,-
1035,XNR_RS05000,KEGG_ko,-
1036,XNR_RS05005,KEGG_ko,-
1037,XNR_RS30740,KEGG_ko,-
1040,XNR_RS05020,KEGG_ko,-
1042,XNR_RS05030,KEGG_ko,-
1043,XNR_RS05035,KEGG_ko,-
1046,XNR_RS05050,KEGG_ko,-
1047,XNR_RS05055,KEGG_ko,-
1048,XNR_RS05060,KEGG_ko,-
1050,XNR_RS05075,KEGG_ko,-
1051,XNR_RS05080,KEGG_ko,-
1052,XNR_RS05085,KEGG_ko,-
1053,XNR_RS05090,KEGG_ko,-
1060,XNR_RS05125,KEGG_ko,-
1061,XNR_RS05130,KEGG_ko,-
1063,XNR_RS05140,KEGG_ko,-
1064,XNR_RS05145,KEGG_ko,-
1065,XNR_RS05150,KEGG_ko,-
1067,XNR_RS05160,KEGG_ko,-
1070,XNR_RS05175,KEGG_ko,-
1072,XNR_RS05185,KEGG_ko,-
1073,XNR_RS05190,KEGG_ko,-
1075,XNR_RS05200,KEGG_ko,-
1076,XNR_RS05205,KEGG_ko,-
1078,XNR_RS05215,KEGG_ko,-
1079,XNR_RS05220,KEGG_ko,-
1080,XNR_RS05225,KEGG_ko,-
1081,XNR_RS05230,KEGG_ko,-
1083,XNR_RS05240,KEGG_ko,-
1088,XNR_RS05265,KEGG_ko,-
1089,XNR_RS05270,KEGG_ko,-
1090,XNR_RS05275,KEGG_ko,-
1092,XNR_RS05285,KEGG_ko,-
1093,XNR_RS05290,KEGG_ko,-
1095,XNR_RS05300,KEGG_ko,-
1098,XNR_RS05315,KEGG_ko,-
1100,XNR_RS05325,KEGG_ko,-
1101,XNR_RS05330,KEGG_ko,-
1102,XNR_RS05335,KEGG_ko,-
1105,XNR_RS05350,KEGG_ko,-
1106,XNR_RS05355,KEGG_ko,-
1112,XNR_RS05385,KEGG_ko,-
1113,XNR_RS05395,KEGG_ko,-
1116,XNR_RS05410,KEGG_ko,-
1117,XNR_RS05415,KEGG_ko,-
1118,XNR_RS05420,KEGG_ko,-
1119,XNR_RS05425,KEGG_ko,-
1120,XNR_RS05430,KEGG_ko,-
1121,XNR_RS05435,KEGG_ko,-
1122,XNR_RS05440,KEGG_ko,-
1123,XNR_RS05445,KEGG_ko,-
1124,XNR_RS05450,KEGG_ko,-
1126,XNR_RS05460,KEGG_ko,-
1127,XNR_RS05465,KEGG_ko,-
1128,XNR_RS05470,KEGG_ko,-
1129,XNR_RS05475,KEGG_ko,-
1132,XNR_RS05495,KEGG_ko,-
1137,XNR_RS05515,KEGG_ko,-
1139,XNR_RS05525,KEGG_ko,-
1140,XNR_RS05530,KEGG_ko,-
1141,XNR_RS05535,KEGG_ko,-
1142,XNR_RS05545,KEGG_ko,-
1146,XNR_RS05580,KEGG_ko,-
1147,XNR_RS05585,KEGG_ko,-
1148,XNR_RS05590,KEGG_ko,-
1150,XNR_RS05600,KEGG_ko,-
1153,XNR_RS05615,KEGG_ko,-
1154,XNR_RS31085,KEGG_ko,-
1160,XNR_RS05650,KEGG_ko,-
1162,XNR_RS30275,KEGG_ko,-
1171,XNR_RS05705,KEGG_ko,-
1172,XNR_RS05710,KEGG_ko,-
1175,XNR_RS05725,KEGG_ko,-
1186,XNR_RS05785,KEGG_ko,-
1190,XNR_RS05800,KEGG_ko,-
1193,XNR_RS05815,KEGG_ko,-
1194,XNR_RS05820,KEGG_ko,-
1195,XNR_RS05825,KEGG_ko,-
1202,XNR_RS31090,KEGG_ko,-
1210,XNR_RS05895,KEGG_ko,-
1212,XNR_RS05905,KEGG_ko,-
1214,XNR_RS05915,KEGG_ko,-
1226,XNR_RS31095,KEGG_ko,-
1227,XNR_RS05965,KEGG_ko,-
1232,XNR_RS05990,KEGG_ko,-
1233,XNR_RS05995,KEGG_ko,-
1243,XNR_RS06045,KEGG_ko,-
1244,XNR_RS06050,KEGG_ko,-
1250,XNR_RS31105,KEGG_ko,-
1251,XNR_RS06085,KEGG_ko,-
1255,XNR_RS06105,KEGG_ko,-
1257,XNR_RS06115,KEGG_ko,-
1262,XNR_RS06140,KEGG_ko,-
1270,XNR_RS06180,KEGG_ko,-
1271,XNR_RS06185,KEGG_ko,-
1276,XNR_RS06210,KEGG_ko,-
1278,XNR_RS06220,KEGG_ko,-
1281,XNR_RS06235,KEGG_ko,-
1282,XNR_RS06240,KEGG_ko,-
1283,XNR_RS06245,KEGG_ko,-
1286,XNR_RS06285,KEGG_ko,-
1287,XNR_RS06295,KEGG_ko,-
1289,XNR_RS06305,KEGG_ko,-
1291,XNR_RS06315,KEGG_ko,-
1293,XNR_RS06325,KEGG_ko,-
1295,XNR_RS06335,KEGG_ko,-
1297,XNR_RS06345,KEGG_ko,-
1298,XNR_RS06350,KEGG_ko,-
1299,XNR_RS06355,KEGG_ko,-
1300,XNR_RS06360,KEGG_ko,-
1301,XNR_RS06365,KEGG_ko,-
